run,hmdb51_acc,hmdb51_epoch,ucf101_acc,ucf101_epoch,exp,model,model_bn_in,model_bn_out,model_rec_type,model_rec_size,model_conv2d_filters,model_conv1d_filters,model_dropout,hmdb51,hmdb51_split,ucf101,ucf101_split,train_strategy,train_epochs,train_tbatch,train_ebatch,opt,opt_lr,opt_momentum,opt_nesterov,opt_alphas
191118T000856-Conv2D-shortest,29.947230219841003,28,62.25218176841736,499,mconv2d,Conv2D,0,0,gru,128,160,160,0.0,True,1,True,1,shortest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T002324-Conv2D-longest,28.1662255525589,176,64.41977024078369,27,mconv2d,Conv2D,0,0,gru,128,160,160,0.0,True,1,True,1,longest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T005136-Conv2D-refill,30.211082100868225,11,62.199312448501594,251,mconv2d,Conv2D,0,0,gru,128,160,160,0.0,True,1,True,1,refill,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T012628-Conv2D-interleave,28.100264072418213,175,64.41977024078369,29,mconv2d,Conv2D,0,0,gru,128,160,160,0.0,True,1,True,1,interleave,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T015438-Conv2D-shortest,31.530344486236572,275,63.15093636512756,362,mconv2d,Conv2D,0,0,gru,128,160,160,0.5,True,1,True,1,shortest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T020947-Conv2D-longest,31.00263774394989,491,65.18635749816896,54,mconv2d,Conv2D,0,0,gru,128,160,160,0.5,True,1,True,1,longest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T023817-Conv2D-refill,32.058048248291016,419,63.57388496398926,217,mconv2d,Conv2D,0,0,gru,128,160,160,0.5,True,1,True,1,refill,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T031319-Conv2D-interleave,30.606859922409054,194,65.34496545791626,68,mconv2d,Conv2D,0,0,gru,128,160,160,0.5,True,1,True,1,interleave,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T034142-Conv2D-shortest,30.804750323295593,31,63.20380568504334,81,mconv2d,Conv2D,0,0,gru,128,192,160,0.0,True,1,True,1,shortest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T035651-Conv2D-longest,29.48548793792725,121,65.50356745719911,23,mconv2d,Conv2D,0,0,gru,128,192,160,0.0,True,1,True,1,longest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T042514-Conv2D-refill,30.87071180343628,12,63.15093636512756,91,mconv2d,Conv2D,0,0,gru,128,192,160,0.0,True,1,True,1,refill,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T050026-Conv2D-interleave,29.28759753704071,101,65.53000211715697,24,mconv2d,Conv2D,0,0,gru,128,192,160,0.0,True,1,True,1,interleave,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T052842-Conv2D-shortest,32.255935668945305,331,63.996827602386475,335,mconv2d,Conv2D,0,0,gru,128,192,160,0.5,True,1,True,1,shortest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T054406-Conv2D-longest,31.926122307777405,493,65.7150387763977,33,mconv2d,Conv2D,0,0,gru,128,192,160,0.5,True,1,True,1,longest,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
191118T061237-Conv2D-refill,32.189974188804634,160,64.10256624221803,419,mconv2d,Conv2D,0,0,gru,128,192,160,0.5,True,1,True,1,refill,500,128,64,sgd,0.01,0.0,False,"[1, 1]"
