run,ds,split,acc,epoch,conv1d_filters,conv2d_filters,dropout,ebatch_size,epochs,exp_name,ifc,lr,model,rec_layers,rec_size,rec_type,reps_size,tbatch_size
191114T121525-hmdb51-Conv2D,hmdb51,1,34.9604219198227,98,224,128,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T134116-hmdb51-Conv2D,hmdb51,1,34.894460439682,90,224,224,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T124417-hmdb51-Conv2D,hmdb51,1,34.894460439682,59,224,160,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T131256-hmdb51-Conv2D,hmdb51,1,34.0369403362274,42,224,192,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T190024-ucf101-Conv2D,ucf101,1,67.2482132911682,380,128,224,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T175350-ucf101-Conv2D,ucf101,1,66.9838726520538,417,128,192,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T164724-ucf101-Conv2D,ucf101,1,66.1644220352173,244,128,160,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128
191114T154051-ucf101-Conv2D,ucf101,1,66.1115527153015,495,128,128,0.5,64,500,sconv,0,0.005,Conv2D,1,128,gru,512,128

# Observations
# HMDB51 prefers few filters in contrast to UCF101.
# HMDB51 overfits much more early.
# Better results but for little: HMDB51 ≈4%, UCF101 ≈2%. 
#
# Repeted experiments with same conv2d_filters but different conv1d_filters
# 191114T120813-hmdb51-Conv2D	hmdb51	1	34.9604219198227	98	192	128	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T120059-hmdb51-Conv2D	hmdb51	1	34.9604219198227	98	160	128	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T115345-hmdb51-Conv2D	hmdb51	1	34.9604219198227	98	128	128	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T133413-hmdb51-Conv2D	hmdb51	1	34.894460439682	90	192	224	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T132710-hmdb51-Conv2D	hmdb51	1	34.894460439682	90	160	224	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T132004-hmdb51-Conv2D	hmdb51	1	34.894460439682	90	128	224	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T123704-hmdb51-Conv2D	hmdb51	1	34.894460439682	59	192	160	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T122951-hmdb51-Conv2D	hmdb51	1	34.894460439682	59	160	160	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T122240-hmdb51-Conv2D	hmdb51	1	34.894460439682	59	128	160	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T130546-hmdb51-Conv2D	hmdb51	1	34.0369403362274	42	192	192	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T125836-hmdb51-Conv2D	hmdb51	1	34.0369403362274	42	160	192	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T125127-hmdb51-Conv2D	hmdb51	1	34.0369403362274	42	128	192	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T191700-ucf101-Conv2D	ucf101	1	67.2482132911682	385	160	224	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T193338-ucf101-Conv2D	ucf101	1	67.2482132911682	380	192	224	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T195018-ucf101-Conv2D	ucf101	1	67.2482132911682	385	224	224	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T181033-ucf101-Conv2D	ucf101	1	66.9838726520538	417	160	192	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T182715-ucf101-Conv2D	ucf101	1	66.9838726520538	417	192	192	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T184353-ucf101-Conv2D	ucf101	1	66.9838726520538	417	224	192	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T170359-ucf101-Conv2D	ucf101	1	66.1644220352173	244	160	160	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T172040-ucf101-Conv2D	ucf101	1	66.1644220352173	244	192	160	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T173716-ucf101-Conv2D	ucf101	1	66.1644220352173	244	224	160	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T155730-ucf101-Conv2D	ucf101	1	66.1115527153015	495	160	128	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T161407-ucf101-Conv2D	ucf101	1	66.1115527153015	496	192	128	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
# 191114T163049-ucf101-Conv2D	ucf101	1	66.1115527153015	496	224	128	0.5	64	500	sconv	0	0.005	Conv2D	1	128	gru	512	128
