run,ds,split,acc,epoch,conv1d_filters,conv2d_filters,dropout,ebatch_size,epochs,exp_name,ifc,lr,model,rec_layers,rec_size,rec_type,reps_size,tbatch_size
191114T152654-hmdb51-Conv2D1D,hmdb51,1,35.4221642017365,77,192,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T145146-hmdb51-Conv2D1D,hmdb51,1,35.3561997413635,147,160,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T153352-hmdb51-Conv2D1D,hmdb51,1,35.2902382612229,78,224,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T145850-hmdb51-Conv2D1D,hmdb51,1,35.2242738008499,131,192,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T143039-hmdb51-Conv2D1D,hmdb51,1,35.1583123207092,159,192,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T141633-hmdb51-Conv2D1D,hmdb51,1,35.0263863801956,136,128,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T143742-hmdb51-Conv2D1D,hmdb51,1,34.9604219198227,169,224,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T150552-hmdb51-Conv2D1D,hmdb51,1,34.894460439682,184,224,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T151953-hmdb51-Conv2D1D,hmdb51,1,34.8284959793091,179,160,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T140228-hmdb51-Conv2D1D,hmdb51,1,34.6965700387955,131,192,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T144444-hmdb51-Conv2D1D,hmdb51,1,34.1029018163681,217,128,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T151253-hmdb51-Conv2D1D,hmdb51,1,34.1029018163681,178,128,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T140930-hmdb51-Conv2D1D,hmdb51,1,33.9050143957138,216,224,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T134819-hmdb51-Conv2D1D,hmdb51,1,33.8390499353409,144,128,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T142336-hmdb51-Conv2D1D,hmdb51,1,33.8390499353409,103,160,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T135524-hmdb51-Conv2D1D,hmdb51,1,32.6517164707184,98,160,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191115T001525-ucf101-Conv2D1D,ucf101,1,67.2217845916748,480,224,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T235855-ucf101-Conv2D1D,ucf101,1,66.825270652771,493,192,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T205644-ucf101-Conv2D1D,ucf101,1,66.5080606937408,451,224,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T220322-ucf101-Conv2D1D,ucf101,1,66.5080606937408,497,224,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T232559-ucf101-Conv2D1D,ucf101,1,66.5080606937408,417,128,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T225254-ucf101-Conv2D1D,ucf101,1,66.4551913738251,370,192,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T214646-ucf101-Conv2D1D,ucf101,1,66.4287626743317,478,192,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T223625-ucf101-Conv2D1D,ucf101,1,66.2965893745423,332,160,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T213008-ucf101-Conv2D1D,ucf101,1,66.2437200546265,456,160,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T234231-ucf101-Conv2D1D,ucf101,1,66.0322487354279,288,160,224,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T221954-ucf101-Conv2D1D,ucf101,1,65.7150387763977,455,128,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T202329-ucf101-Conv2D1D,ucf101,1,65.4506981372833,442,160,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T204005-ucf101-Conv2D1D,ucf101,1,65.4506981372833,286,192,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T230925-ucf101-Conv2D1D,ucf101,1,65.4506981372833,448,224,192,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T211329-ucf101-Conv2D1D,ucf101,1,64.6841108798981,499,128,160,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128
191114T200653-ucf101-Conv2D1D,ucf101,1,63.9439582824707,356,128,128,0.5,64,500,sconv,0,0.005,Conv2D1D,1,128,gru,512,128

# Observations
# Seems to prefers more filters in 2D layers and less 1D layer.
# More filters at 2D layers may help.
